store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
89449,LETHBRIDGE,WEST,AB,910,6209.26,2666.08,3921.52,2287.73,870.6,312.56,248.6,107.02,99.63,113,104.58,96.17,69.77,185.6,133.46
89494,EDMONTON,WEST,AB,989,7203.22,3067.16,4435.85,2767.37,884.51,366.57,219.31,108.02,91.59,178.2,119.43,104.53,135.61,273.51,142.49
89508,CALGARY,WEST,AB,882,1903.97,800.27,1166.68,737.29,269.83,131.33,60.52,35.1,24.73,48.15,27.13,24.83,34.15,74.37,36.13
91191,RICHMOND,WEST,BC,336,615.24,304.12,371.31,243.92,116.6,37.73,30.15,19.69,0.31,29.79,11.94,2.52,13.6,39.87,8.63
91192,VANCOUVER,WEST,BC,340,832.87,420.29,499.22,333.65,151.88,44.63,36.1,27.35,3.94,29.31,18.6,3.96,21.52,52.71,18.4
91193,VICTORIA,WEST,BC,527,1583.38,715.64,981.14,602.24,270.38,101.72,44.02,31.23,10.89,53.64,26.32,13.72,32.94,59.98,24.09
91200,VICTORIA,WEST,BC,490,1880.01,878.82,1168.51,711.5,306.22,107.35,74.1,48.24,24.45,59.02,30.92,14.73,36.27,85.65,44.86
91203,NORTH VANCOUVER,WEST,BC,493,1658.69,784.42,981.66,677.03,240.48,93.83,63.31,53.96,17.62,67.85,29.29,9.21,33.42,92.58,20.27
91214,HOPE,WEST,BC,773,3124.94,1410.33,1854.07,1270.87,610.29,123.71,135.6,51.92,69.44,70.96,56.98,30.73,41.79,232.56,45.71
91215,VANCOUVER,WEST,BC,734,2082.79,946.48,1249.74,833.06,308.52,105.44,72.62,46.87,27,69.85,36.88,15.94,29.81,119.21,29.44
91226,PORT ALBERNI,WEST,BC,985,6216.88,2540.29,3762.04,2454.84,782.6,235.33,175.29,85.5,85.04,181.46,119.48,88,102.65,247.46,89.73
91227,SURREY,WEST,BC,910,2541.72,1119.13,1563.37,978.35,467.63,176.69,108.94,60.69,40.62,70.54,37,27.67,34.17,92.44,32.6
91244,CAMPBELL RIVER,WEST,BC,860,3366.81,1466.69,2109.43,1257.37,461.44,229.19,106.71,62.37,40.56,83.73,65.37,28.37,67.81,131.65,44.56
91280,VICTORIA,WEST,BC,808,2458.16,1117.44,1499.78,958.38,346.31,137.29,94.67,62.19,29.9,70.62,39.29,22.85,40.19,78.73,41.12
91298,COURTENAY,WEST,BC,939,3821.16,1643.88,2400.42,1420.75,579.85,213.88,132.44,62.25,53.1,103.58,58.4,46.98,61.83,166.52,52.17
91316,WHITE ROCK,WEST,BC,486,892.82,409.54,539.06,353.76,156.83,77.19,33.75,24.31,8.12,36.56,10.27,5.67,22.21,44.31,7.27
91324,COQUITLAM,WEST,BC,756,3197.3,1429.52,1948.96,1248.35,509.79,224.98,98.92,57.87,41,112.52,50.56,18.04,49.25,169.54,39.04
91326,VERNON,WEST,BC,709,3810.5,1614.98,2254.93,1555.57,628.98,275.65,118.54,76.69,48.62,126.15,41.87,27.06,41.63,217.38,52.85
91329,VICTORIA,WEST,BC,708,1377.88,617.85,839.45,538.43,190.04,89.35,52.75,39.37,18.96,43.15,24.27,11.38,21.25,53.71,15.79
91340,VANCOUVER,WEST,BC,861,2552.91,1144.08,1521.09,1031.82,341.63,127.77,99.13,55.67,42.21,74.9,45.4,24.37,58.48,123,32.92
91361,PRINCE GEORGE,WEST,BC,972,7074.91,2907.37,4389.58,2685.33,1142.44,490.46,203.19,120.52,112.27,167.79,87.5,113.98,105.87,167.04,133.37
